Fecha,Símbolo,Registros_descargados,Registros_agregados,Total_en_archivo,Estado
2025-05-09 06:50:17,AVAL,2673,2673,2673,Éxito
2025-05-09 09:25:59,AVAL,2673,0,2673,Éxito
2025-05-09 12:28:29,AVAL,2673,0,2673,Éxito
2025-05-10 12:25:39,AVAL,2674,1,2674,Éxito
2025-05-11 12:25:36,AVAL,2674,0,2674,Éxito
2025-05-11 17:05:00,AVAL,2674,2674,2674,Éxito
2025-05-12 12:30:00,AVAL,2674,0,2674,Éxito
2025-05-13 12:30:21,AVAL,2675,1,2675,Éxito
2025-05-14 12:29:20,AVAL,2676,1,2676,Éxito
2025-05-15 12:29:28,AVAL,2677,1,2677,Éxito
2025-05-16 12:29:40,AVAL,2678,1,2678,Éxito
2025-05-17 12:26:12,AVAL,2679,1,2679,Éxito
2025-05-18 12:26:25,AVAL,2679,0,2679,Éxito
2025-05-19 12:30:38,AVAL,2679,0,2679,Éxito
2025-05-20 12:30:42,AVAL,2680,1,2680,Éxito
